,Book_Title,Book_Author,Year_Published,Link_To_Image,Average_Rating,Total_Rating,Average_Age
2,Wild Animus,Rich Shapero,2004,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,1.0195843325339728,2502,34.26156001868286
111,The Lovely Bones: A Novel,Alice Sebold,2002,http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg,4.468725868725869,1295,36.22391304347826
191,The Da Vinci Code,Dan Brown,2003,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg,4.652321630804077,883,38.41438848920863
270,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,http://images.amazon.com/images/P/0060928336.01.THUMBZZZ.jpg,3.448087431693989,732,35.53634577603143
138,The Red Tent (Bestselling Backlist),Anita Diamant,1998,http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg,4.334716459197787,723,36.57838983050848
92,A Painted House,John Grisham,2001,http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg,3.187017001545595,647,40.042821158690174
100,The Secret Life of Bees,Sue Monk Kidd,2003,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg,4.219512195121951,615,37.768539325842696
446,Snow Falling on Cedars,David Guterson,1995,http://images.amazon.com/images/P/067976402X.01.THUMBZZZ.jpg,3.255700325732899,614,37.371428571428574
32,Angels &amp; Demons,Dan Brown,2001,http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg,3.718430034129693,586,38.23029045643153
187,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,http://images.amazon.com/images/P/0446672211.01.THUMBZZZ.jpg,4.105982905982906,585,36.404411764705884
493,Harry Potter and the Sorcerer's Stone,J. K. Rowling,1999,http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg,4.900175131348512,571,32.66746987951807
888,The Pilot's Wife : A Novel,Anita Shreve,1999,http://images.amazon.com/images/P/0316601950.01.THUMBZZZ.jpg,3.5933098591549295,568,37.55614973262032
821,House of Sand and Fog,Andre Dubus III,2000,http://images.amazon.com/images/P/0375727345.01.THUMBZZZ.jpg,3.039855072463768,552,38.05833333333333
117,The Firm,John Grisham,1992,http://images.amazon.com/images/P/044021145X.01.THUMBZZZ.jpg,3.0756143667296785,529,35.627604166666664
71,Girl with a Pearl Earring,Tracy Chevalier,2001,http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg,4.218631178707224,526,37.36746987951807
540,The Pelican Brief,John Grisham,1993,http://images.amazon.com/images/P/0440214041.01.THUMBZZZ.jpg,2.5239005736137665,523,37.153645833333336
17,The Joy Luck Club,Amy Tan,1994,http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,3.0635838150289016,519,34.270718232044196
